dhw_storage,electrical_storage,cooling_or_heating_device
-0.08,-0.08,-0.6748435974121094
-0.08,-0.08,0.8604228973388672
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4350257873535156
0.091,0.091,0.0
0.091,0.091,-0.5129486083984375
-0.08,-0.08,0.0
-0.08,-0.08,-0.4774017333984375
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6262821197509766
-0.08,-0.08,0.4611377716064453
-0.08,-0.08,-0.4034923553466797
-0.08,-0.08,0.0
-0.08,-0.08,-0.7229381561279297
-0.08,-0.08,0.41428184509277344
-0.08,-0.08,-0.4497947692871094
-0.08,-0.08,0.5157215118408203
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,-0.4596244812011719
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.4434684753417969
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,-0.5905845642089844
-0.08,-0.08,0.0
-0.08,-0.08,0.0
-0.08,-0.08,-0.6696037292480469
-0.08,-0.08,0.0
-0.08,-0.08,-0.4440162658691406
-0.08,-0.08,0.0
-0.08,-0.08,-0.7287040710449219
-0.08,-0.08,0.0
-0.08,-0.08,-0.5437465667724609
-0.08,-0.08,0.4008937835693359
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,-0.45380859375
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.41236114501953125
0.091,0.091,0.0
0.091,0.091,0.0
-0.08,-0.08,-0.7149555206298828
-0.08,-0.08,0.5267898559570312
-0.08,-0.08,0.0
-0.08,-0.08,-0.5056480407714844
-0.08,-0.08,0.0
-0.08,-0.08,-0.44593658447265627
-0.08,-0.08,0.0
-0.08,-0.08,-0.664263916015625
-0.08,-0.08,0.0
-0.08,-0.08,-0.6490867614746094
-0.08,-0.08,0.5740516662597657
-0.08,-0.08,0.0
-0.08,-0.08,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.408892822265625
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,0.0
0.091,0.091,-0.7068634033203125
-0.08,-0.08,0.4571380615234375
-0.08,-0.08,0.0
-0.08,-0.08,-0.6377941131591797
-0.08,-0.08,0.0
-0.08,-0.08,-0.40358314514160154
-0.08,-0.08,0.0
-0.08,-0.08,-0.6367973327636719
-0.08,-0.08,0.0
