bld_id,cooling demand,heating demand,dhw demand,cooling electricity consumption,heating electricity consumption,dhw electricity consumption,heating fuel consumption,dhw fuel consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from electrical storage,energy to electrical storage,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from heating fuel device to heating storage,energy from heating device to heating storage,energy from heating storage,heating storage soc,heating storage capacity,energy from heating device,energy from heating fuel device,energy to non shiftable load,net electricity consumption,net electricity cost,net electricity emission,net fuel consumption,net fuel cost,net fuel emission,electricity price,fuel price,electricity carbon intensity,fuel carbon intensity,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,outdoor_temperature,indoor_temperature,heating_sp,cooling_sp,comfort_band
resstock-amy2018-2021-release-1-66099,2.689471,0.0,1.9848945,0.0,0.0,2.0441425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039449554,10.499878883361816,0.41421553833820823,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.57024664,2.6143892,0.9807881,1.3713808,0.0,0.0,0.0,0.37515,0.1383698,0.52455115,0.0,2.6143892,0.0,2.6143892,2.6143892,0.57024664,-0.0,10.6,16.753977,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,1.3697654,0.18090896,0.0,0.6931376,0.186309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03938095,10.499878883361816,0.4134951947129757,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,1.3697654,0.0,0.517588,1.3970345,0.46998337,0.7216888,0.0,0.0,0.0,0.336415,0.1383698,0.51658624,0.0,1.3970345,0.0,1.3970345,1.3970345,0.517588,-0.0,8.3,18.177841,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.121667184,10.499870300292969,1.2774896511261318,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.42893094,1.3844309,0.44479966,0.7006674,0.0,0.0,0.0,0.321287,0.1383698,0.506105,0.0,1.3844309,0.0,0.42893088,0.42893088,0.42893094,-0.0,6.7,16.798536,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.20381032,10.499861717224121,2.1399801692401894,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.17074957,1.1262496,0.35694408,0.54802173,0.0,0.0,0.0,0.3169316,0.1383698,0.48658997,0.0,1.1262496,0.0,0.17074955,0.17074955,0.17074957,-0.0,8.9,16.071568,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,2.124422,0.0,0.0,1.0583138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.28581062,10.499853134155273,3.0009695299049213,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,2.124422,0.0,0.16918555,2.1829994,0.6918348,1.1043309,0.0,0.0,0.0,0.3169194,0.1383698,0.5058778,0.0,2.1829994,0.0,1.2274994,1.2274994,0.16918555,-0.0,8.9,19.126606,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.36766833,10.499844551086426,3.860460318386174,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.16802044,1.1235205,0.3559695,0.5437628,0.0,0.0,0.0,0.316834,0.1383698,0.48398122,0.0,1.1235205,0.0,0.16802049,0.16802049,0.16802044,-0.0,8.3,17.217178,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.44938368,10.499835968017578,4.718454885251731,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.16702628,1.1225263,0.34579423,0.56437045,0.0,0.0,0.0,0.30805,0.1383698,0.50276816,0.0,1.1225263,0.0,0.16702628,0.16702628,0.16702628,-0.0,7.2,16.109562,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,2.0771148,0.0,0.0,1.08101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.5309569,10.49982738494873,5.574956050440562,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,2.0771148,0.0,0.16597515,2.202485,0.67847556,1.1332557,0.0,0.0,0.0,0.30805,0.1383698,0.514535,0.0,2.202485,0.0,1.2469851,1.2469851,0.16597515,-0.0,7.2,18.449808,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.6123883,10.499818801879883,6.429966320963445,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,0.0,0.0,0.16481003,1.1203101,0.35316184,0.60090464,0.0,0.0,0.0,0.3152358,0.1383698,0.5363735,0.0,1.1203101,0.0,0.16481006,0.16481006,0.16481003,-0.0,6.7,16.728596,17.777779,17.777779,2.0
resstock-amy2018-2021-release-1-66099,0.0,1.306349,0.0,0.0,0.679874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9555,0.9555,0.0,0.6936781,10.499810218811035,7.283488203822969,-0.0,0.9555,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,14.194403,1.306349,0.0,0.164981,1.800355,0.5675363,0.98778635,0.0,0.0,0.0,0.3152358,0.1383698,0.548662,0.0,1.800355,0.0,0.84485495,0.84485495,0.164981,-0.0,7.2,16.647251,17.777779,17.777779,2.0
